NodeNumber,xPos,yPos,zPos
2028423,3.3199500e+03,-3.8012000e+02,3.9435999e+02
2028424,3.3206799e+03,-4.2713000e+02,3.8678000e+02
2028425,3.3157300e+03,-4.1062000e+02,3.8828998e+02
2028426,3.3100498e+03,-3.9531000e+02,3.9370999e+02
2028427,3.3047800e+03,-3.8464999e+02,3.9463998e+02
2028428,3.2930498e+03,-3.9238000e+02,3.9488998e+02
2028429,3.3004099e+03,-4.1378000e+02,3.8976999e+02
2028430,3.3058699e+03,-4.3619998e+02,3.8845999e+02
2028431,3.2655898e+03,-4.0595999e+02,3.9141998e+02
2028432,3.2749299e+03,-4.2634000e+02,3.8875998e+02
2028433,3.2806699e+03,-4.4154999e+02,3.9075998e+02
2028434,3.2877500e+03,-4.2025998e+02,3.8984000e+02
2028435,3.2932700e+03,-4.3888000e+02,3.8963000e+02
2028436,3.2793198e+03,-3.9917999e+02,3.9366000e+02
2028437,3.2518699e+03,-4.1275000e+02,3.8717999e+02
2028438,3.2621099e+03,-4.3241000e+02,3.8766000e+02
2028439,3.2680698e+03,-4.4422998e+02,3.9092999e+02
2028440,3.4752900e+03,-3.5785001e+02,3.9660001e+02
2028441,3.4805400e+03,-3.7973999e+02,3.9575000e+02
2028442,3.4613398e+03,-3.5875000e+02,3.9519998e+02
2028443,3.4892300e+03,-3.5694998e+02,3.9798999e+02
2028444,3.4932500e+03,-3.7713998e+02,3.9878998e+02
2028445,3.4678499e+03,-3.8234000e+02,3.9369998e+02
2028446,3.4861699e+03,-4.0516000e+02,3.9537000e+02
2028447,3.4976399e+03,-4.0269998e+02,3.9926999e+02
2028448,3.4919600e+03,-4.2753998e+02,3.9635999e+02
2028449,3.5021399e+03,-4.2373999e+02,4.0056000e+02
2028450,3.4746899e+03,-4.0762000e+02,3.9142999e+02
2028451,3.4816799e+03,-4.3132999e+02,3.9272000e+02
